ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2010-01-28;;01;BL11;1A15ANXHGG5;20100128;Y;4;AB;;5;1340;1830;;4288;1753;1460;02;1248;66;4;true;;Opel;ASTRA Viistoperä (AB) 4ov 1248cm3;1;6;ASTRA;05;e1*01/116*0261*14;02;849;130;99280;693;W0L0AHL488;3248094
M1;2010-01-04;;01;AABZBX0;FM6FM62S002ST0GG;20100104;0;4;AA;;4;1505;1920;;4886;1855;1417;01;1798;118;4;true;;Volkswagen;PASSAT CC Sedan (AA) 4ov 1798cm3;1;6;PASSAT CC;05;e1*01/116*0468*02;01;049;178;54345;021;WVWZZZ3CZ9;3315144
M1;2010-03-23;;01;2;4;20090911;8;4;AB;;5;1155;1555;;3900;1695;1655;01;1339;73;4;false;;Honda;JAZZ Viistoperä (AB) 4ov 1339cm3 A;2;6;JAZZ;05;e6*01/116*0126*02;01;405;125;78459;538;JHMGE68409;3359775
M1;2010-01-29;;01;AFBLSX01;SGEFM5A40447GG;20090923;8;4;AF;1;5;1325;1820;1820;4315;1768;1459;02;1896;77;4;true;false;Seat;LEON Monikäyttöajoneuvo (AF) 4ov 1896cm3;1;5;LEON;05;e9*01/116*0052*19;02;179;119;226341;418;VSSZZZ1PZA;3400059
M1;2010-01-27;;01;H202M0;SZAAA502;20100127;2;4;AC;;5;1665;2205;;4706;1782;1474;02;2143;125;4;true;;Mercedes-Benz;C 220 CDI Farmari (AC) 4ov 2143cm3 A;2;5;C 220 CDI;05;e1*01/116*0457*07;02;698;166;234776;972;WDD2042021;3415736
M1;2010-01-05;;01;14Z;2EU;20100105;8;4;AB;;5;1255;1770;;4490;1755;1470;01;1598;77;4;false;;Mazda;3 Viistoperä (AB) 4ov 1598cm3;1;5;3;05;e11*01/116*0262*02;01;405;149;108559;539;JMZBL14Z20;3430029
M1;2010-01-05;;01;H202M0;SZAAA502;20100105;8;4;AC;;5;1665;2205;;4706;1782;1474;02;2143;125;4;true;;Mercedes-Benz;C 220 CDI Farmari (AC) 4ov 2143cm3 A;2;5;C 220 CDI;05;e1*01/116*0457*07;02;082;166;149814;137;WDD2042021;3441341
M1;2010-01-29;;01;UH31;5A;20100129;8;4;AC;;5;1350;1775;;4239;1748;1421;01;1995;90;4;false;;BMW;116i Farmari (AC) 4ov 1995cm3;1;6;116i;05;e1*2007/46*0283*00;01;167;143;78616;802;WBAUH31020;3449600
M1;2010-03-29;;01;ZRT270(W);ZRT270L-AWFNPW(1C);20100329;9;4;AF;1;5;1475;1970;1970;4785;1810;1480;01;1598;97;4;false;false;Toyota;AVENSIS Monikäyttöajoneuvo (AF) 4ov 1598cm3;1;6;AVENSIS;05;e11*01/116*0331*02;01;905;153;163198;653;SB1EE76LX0;3455544
M1;2010-02-19;;01;ZRT271(E);ZRT271L-AEFEPW(1C);20091109;Y;4;AA;;5;1450;2000;;4715;1810;1480;01;1798;108;4;false;;Toyota;AVENSIS Sedan (AA) 4ov 1798cm3;1;6;AVENSIS;05;e11*01/116*0331*02;01;272;154;156283;676;SB1BG76L00;3460463
